Maintenance_ID,Aircraft_ID,Aircraft_Type,Maintenance_Type,Maintenance_Category,Scheduled_Date,Actual_Start_Date,Completion_Date,Budgeted_Cost,Actual_Cost,Labor_Hours,Parts_Cost,Vendor,Priority,Status,Location,Downtime_Hours,Technician_Count,Cost_Variance,Cost_Variance_Percent
M1273,A59,A-320,Unscheduled,,2024-09-26,2024-09-26,2024-10-01,,,,23597.0,inhouse,,completed,Amsterdam,,3.0,,
M2846,A11,A320,scheduled,Hydraulics,2024-05-31,2024-06-10,2024-06-15,,,113.0,45036.0,InHouse,,Cancelled,Frankfurt,128.0,6.0,1447.0,3.87
M3210,A35,B777,Preventive,,2022-12-03,2022-12-07,,65826.0,52336.0,,79110.0,,Medium,InProgress,Amsterdam,9.0,6.0,,-20.49
M1048,A13,,Scheduled,Engine,2024-07-05,2024-07-07,,9504.0,,,,,High,completed,LosAngeles,,9.0,,
M2196,A59,A350,Preventive,Electrical,,,,,7344.0,62.0,36210.0,,,Completed,Paris,51.0,,,
M2300,A08,A350,Emergency,Engine,2022-05-25,2022-05-23,2022-05-25,115675.0,81517.0,181.0,,V-A,,,,109.0,1.0,-34158.0,-29.53
M4845,A05,A320,Emergency,LandingGear,2024-08-15,2024-08-14,2024-08-17,142202.0,,,82234.0,V-A,,Delayed,Dallas,131.0,10.0,25068.0,17.63
M1731,A50,,Scheduled,Engine,2022-05-14,2022-05-23,2022-05-23,128608.0,,,71294.0,inhouse,Low,,Amsterdam,9.0,,,25.29
M1663,A34,,,Structure,2022-03-01,2022-03-08,,81054.0,61107.0,,27205.0,,Medium,Cancelled,Atlanta,,10.0,,-24.61
M2587,A38,B737,Unscheduled,,,,,,80867.0,,27671.0,InHouse,Low,completed,Toronto,68.0,10.0,,7.51
M394,A22,B787,Preventive,,2022-09-08,2022-09-10,2022-09-10,,103136.0,,4800.0,InHouse,Critical,,Paris,18.0,2.0,16511.0,19.06
M3932,A44,,scheduled,,2023-05-21,,,123002.0,125460.0,7.0,,inhouse,,Completed,,41.0,10.0,,2.0
M4379,A59,,,Hydraulics,2023-05-14,2023-05-20,2023-05-26,5381.0,6244.0,,80492.0,V-B,Medium,completed,LosAngeles,,2.0,863.0,
M4551,A02,A320,,Electrical,,2023-06-12,,115825.0,157237.0,,,inhouse,,completed,Singapore,,9.0,41412.0,35.75
M2803,A42,A320,Emergency,,2023-08-24,2023-09-04,,,,199.0,31803.0,,High,Cancelled,,100.0,8.0,,-24.89
M4440,A19,A320,Scheduled,Engine,2023-11-15,2023-11-17,2023-11-20,50321.0,,,,,,InProgress,LosAngeles,10.0,,24538.0,48.76
M655,A46,A320,Scheduled,Avionics,,2024-02-15,,,139519.0,77.0,,V-B,Low,Cancelled,Tokyo,89.0,1.0,40348.0,40.69
M4218,A19,,scheduled,LandingGear,2022-05-05,2022-05-11,2022-05-15,63526.0,62189.0,116.0,69126.0,InHouse,High,completed,Frankfurt,,,-1337.0,
M2105,A44,,,Structure,2022-03-04,2022-03-09,2022-03-11,143733.0,114971.0,110.0,,,Low,,,40.0,3.0,-28762.0,
M1401,A03,,,Electrical,2022-07-29,2022-07-29,,,191150.0,,30419.0,,,,,43.0,,45036.0,30.82
M2143,A52,,Scheduled,Hydraulics,2023-06-04,,2023-06-13,91472.0,94519.0,,69976.0,V-C,,Delayed,,14.0,8.0,3047.0,
M4967,A42,b737,Unscheduled,Hydraulics,2023-09-20,,,56599.0,71465.0,56.0,,,Critical,,Chicago,,,14866.0,26.27
M3337,A51,B737,scheduled,,2024-08-06,2024-08-03,,,,177.0,,,,,Chennai,65.0,7.0,6972.0,
M4029,A33,,Preventive,Engine,,,2024-04-05,,169291.0,,24650.0,,,,Atlanta,54.0,7.0,,29.96
M102,A12,A-320,scheduled,Avionics,,,2022-02-16,,85431.0,189.0,58366.0,,Low,Delayed,Singapore,,8.0,,
M4104,A07,B777,,Hydraulics,2022-10-21,,2022-10-20,63007.0,66915.0,76.0,74548.0,InHouse,,completed,,148.0,3.0,3908.0,6.2
M1850,A21,B737,Scheduled,,,2023-10-20,,26186.0,,,40903.0,V-C,Medium,Delayed,Toronto,61.0,,,
M158,A47,A350,Emergency,Avionics,2024-06-22,2024-07-04,2024-07-09,,41407.0,99.0,42015.0,,,completed,Chennai,61.0,3.0,10558.0,34.22
M2518,A58,A-320,Unscheduled,Structure,2024-08-21,2024-08-20,2024-08-23,,,181.0,60489.0,V-C,Critical,completed,Chicago,110.0,9.0,,-2.81
M157,A16,B787,,LandingGear,2024-02-04,2024-02-16,,,59625.0,,62112.0,inhouse,Medium,Delayed,Atlanta,97.0,9.0,1014.0,1.73
M3730,A29,A320,,Hydraulics,,2023-04-10,2023-04-14,76793.0,55451.0,43.0,,InHouse,Critical,Cancelled,London,109.0,6.0,-21342.0,
M3681,A55,A350,scheduled,Hydraulics,2022-01-08,2022-01-11,2022-01-12,,,,85957.0,,,,London,130.0,9.0,120.0,0.25
M1658,A54,,,,2023-12-17,2023-12-29,2024-01-04,146999.0,,158.0,,,,completed,,85.0,6.0,39168.0,26.65
M1195,A17,A350,,Avionics,,2023-01-19,2023-01-20,141207.0,126493.0,,,InHouse,,Completed,,47.0,8.0,-14714.0,
M749,A60,B777,,,2023-08-23,2023-08-22,2023-08-25,,45263.0,168.0,,InHouse,,,,,,-17109.0,
M1537,A56,A350,,Hydraulics,2024-05-01,,2024-05-07,52429.0,56701.0,,,V-B,,,Chicago,,8.0,,
M1296,A58,B777,Unscheduled,,,2024-03-13,,53018.0,40027.0,97.0,,V-C,,Delayed,Chennai,,7.0,-12991.0,-24.5
M2413,A03,,Emergency,Engine,,2022-03-11,,84896.0,96399.0,17.0,80533.0,,,Delayed,Paris,98.0,4.0,,13.55
M2260,A40,b737,Scheduled,Hydraulics,,2022-07-03,2022-07-07,,,197.0,,V-A,,InProgress,London,27.0,,-6768.0,
M326,A32,,Preventive,Engine,,2024-03-16,2024-03-19,90220.0,,,,V-C,Low,InProgress,Chennai,,,,
M2112,A11,,Preventive,Electrical,2023-12-21,2023-12-29,2023-12-29,106883.0,,127.0,,V-A,High,,Dubai,30.0,3.0,,25.89
M2477,A39,B777,,Structure,,,2022-03-03,,,,,V-A,Low,Cancelled,Toronto,24.0,9.0,9370.0,
M133,A41,,scheduled,,,,2024-09-21,130946.0,109524.0,42.0,32745.0,V-A,Critical,InProgress,,117.0,6.0,-21422.0,-16.36
M2810,A59,,Emergency,Hydraulics,2023-11-18,2023-11-22,,108510.0,,183.0,40074.0,V-C,High,completed,Chennai,14.0,10.0,-17271.0,-15.92
M1919,A30,,Preventive,,2024-06-26,2024-07-07,2024-07-10,78384.0,,,55195.0,,,InProgress,Paris,118.0,9.0,30813.0,
M1322,A06,B777,Emergency,Hydraulics,,2023-10-07,2023-10-08,45760.0,34197.0,76.0,,,,completed,,33.0,2.0,,
M2234,A35,A350,Scheduled,,2023-12-30,,2024-01-06,22941.0,17392.0,83.0,,V-A,High,Cancelled,,27.0,,,-24.19
M4348,A30,B737,,Structure,2023-08-05,2023-08-17,,143708.0,,,40668.0,V-B,High,completed,,107.0,9.0,,6.03
M4225,A28,A350,,,2023-08-02,,,54414.0,65036.0,,84130.0,V-C,,Delayed,LosAngeles,,,10622.0,19.52
M4507,A57,,,LandingGear,2022-01-21,,,140307.0,209634.0,,,InHouse,,InProgress,Chennai,,7.0,,49.41
M4382,A06,,,,2022-06-14,2022-06-18,,,7015.0,,81264.0,,,Completed,Singapore,,,-2513.0,
M1412,A57,b737,scheduled,Hydraulics,2024-07-10,2024-07-09,2024-07-14,93138.0,112510.0,,,InHouse,Critical,InProgress,Paris,146.0,,19372.0,
M812,A57,,,Engine,,2024-04-21,,39391.0,53360.0,,67127.0,,,Completed,Tokyo,143.0,,13969.0,35.46
M1721,A08,A-320,Unscheduled,,,,2023-10-26,52588.0,,67.0,,,,Cancelled,,77.0,,5974.0,
M623,A20,A-320,,,2024-03-14,,,,,,59495.0,,Low,completed,Dallas,,,,
M2571,A43,B777,Preventive,Structure,,2023-07-29,2023-07-30,130680.0,108798.0,12.0,,,,Cancelled,,60.0,,-21882.0,
M590,A10,,Scheduled,Hydraulics,2022-07-27,2022-08-07,2022-08-10,,40857.0,,33353.0,,Medium,completed,,130.0,,-17018.0,
M4505,A56,B787,,Hydraulics,2024-05-28,2024-06-06,,127561.0,90527.0,200.0,2306.0,InHouse,Critical,,Tokyo,20.0,,,-29.03
M829,A20,B777,Scheduled,LandingGear,2023-03-29,,,,,69.0,66902.0,,Medium,Completed,Singapore,,,-16575.0,
M169,A21,B777,Scheduled,Engine,2022-10-02,,,45442.0,,,41405.0,InHouse,,Delayed,LosAngeles,38.0,2.0,13256.0,29.17
M4667,A21,A320,scheduled,Hydraulics,,,,93874.0,98265.0,109.0,74471.0,,,,London,,,4391.0,4.68
M2756,A45,B737,Emergency,Engine,2022-01-03,2022-01-03,,80884.0,116692.0,,46900.0,InHouse,,,,,4.0,,
M309,A31,B777,Emergency,Electrical,,2023-08-01,,102049.0,117078.0,93.0,,,Critical,,Frankfurt,,2.0,15029.0,14.73
M3535,A55,A350,Scheduled,LandingGear,,2024-07-03,,,,176.0,13785.0,V-B,Medium,Delayed,,148.0,,-11292.0,
M2642,A04,,Emergency,,,2022-11-17,,48929.0,35102.0,10.0,53149.0,V-B,,Delayed,Mumbai,109.0,2.0,,-28.26
M3571,A54,,scheduled,Structure,2024-02-27,,2024-03-10,8298.0,7603.0,60.0,25280.0,,High,,Toronto,,1.0,-695.0,
M4963,A04,b737,Unscheduled,,,,2022-05-04,116441.0,145763.0,151.0,,InHouse,,,Chennai,,8.0,29322.0,
M4305,A01,B777,scheduled,Electrical,2024-02-04,,,,137606.0,16.0,76846.0,V-C,High,Delayed,Dallas,133.0,,32666.0,31.13
M916,A31,,Unscheduled,Avionics,,,,112577.0,91439.0,,21898.0,InHouse,,,Dallas,,6.0,-21138.0,
M2423,A60,,scheduled,,2023-05-27,2023-06-05,2023-06-06,143249.0,103038.0,,,,,Completed,,,,,-28.07
M3965,A52,B777,scheduled,Avionics,,2023-10-10,2023-10-14,,21907.0,217.0,,,Low,Delayed,,132.0,,,-28.59
M3317,A42,B787,Emergency,Electrical,2023-07-21,2023-07-25,2023-07-27,,,25.0,80876.0,V-A,Medium,InProgress,Toronto,13.0,10.0,8149.0,5.74
M4828,A04,A-320,Scheduled,Electrical,2023-03-29,2023-04-01,2023-04-01,,,,64706.0,,Low,completed,Tokyo,144.0,4.0,,16.79
M1874,A24,B777,Preventive,Avionics,,2024-08-14,2024-08-19,62346.0,90524.0,,,V-B,Low,Delayed,Chennai,16.0,,28178.0,
M3835,A20,B737,Emergency,,,2022-08-07,,,35780.0,50.0,41889.0,InHouse,Low,InProgress,Toronto,96.0,8.0,11078.0,
M1033,A24,,scheduled,Electrical,2024-02-26,,2024-03-01,54798.0,,87.0,27799.0,InHouse,High,Completed,Tokyo,79.0,,13682.0,24.97
M200,A51,,,Hydraulics,,,,,100365.0,,15777.0,V-B,,completed,,140.0,1.0,17891.0,21.69
M811,A51,A350,Scheduled,Avionics,2022-02-06,2022-02-03,,31875.0,35100.0,,40513.0,,,InProgress,,,,3225.0,10.12
M1408,A36,,,Avionics,2023-10-30,,2023-11-06,57209.0,45121.0,115.0,56344.0,InHouse,Critical,InProgress,Tokyo,,1.0,-12088.0,
M3711,A20,B787,,Engine,2023-10-19,,,71450.0,79186.0,91.0,,InHouse,,,,17.0,6.0,,10.83
M4527,A04,b737,Emergency,,2022-08-23,2022-08-28,2022-08-29,142244.0,,106.0,72062.0,V-C,Medium,,,,7.0,21481.0,15.1
M240,A22,,Unscheduled,Engine,2022-05-28,2022-06-06,,108754.0,153523.0,,63287.0,V-C,Medium,Completed,London,82.0,5.0,44769.0,41.17
M2654,A05,b737,,LandingGear,,2023-01-01,2023-01-05,92507.0,111004.0,85.0,52587.0,V-C,Medium,Cancelled,Atlanta,,3.0,18497.0,
M1756,A60,b737,Emergency,Hydraulics,2024-03-21,2024-03-31,,35843.0,43429.0,147.0,,,Low,completed,,,3.0,,
M4703,A33,b737,Scheduled,Avionics,,2024-05-29,,57755.0,73780.0,,,inhouse,,,NewYork,64.0,,16025.0,27.75
M1946,A36,,Preventive,Engine,2023-11-09,,2023-11-22,38949.0,,,27376.0,V-B,High,Completed,NewYork,,5.0,11998.0,30.8
M4259,A37,A350,,,,2022-12-19,2022-12-21,52319.0,78054.0,150.0,61626.0,,High,,Amsterdam,5.0,,25735.0,
M4653,A52,,Scheduled,LandingGear,2023-05-23,,2023-05-23,121407.0,148303.0,166.0,,V-C,Medium,InProgress,Dubai,48.0,,,22.15
M2560,A01,A350,Preventive,Engine,2022-11-06,,2022-11-10,11304.0,16117.0,176.0,,V-B,High,Delayed,,66.0,,4813.0,
M2759,A09,A-320,,,2022-08-04,2022-08-04,2022-08-09,111745.0,119509.0,13.0,,V-C,,InProgress,,106.0,4.0,7764.0,6.95
M1554,A58,,,,,,2023-02-02,29354.0,,208.0,,inhouse,High,,Paris,119.0,2.0,,15.31
M3774,A60,,Unscheduled,Electrical,2022-06-19,,2022-06-23,105708.0,106959.0,15.0,80356.0,InHouse,Critical,InProgress,NewYork,124.0,10.0,1251.0,1.18
M298,A21,B737,scheduled,,2023-04-26,2023-05-07,2023-05-07,,22949.0,217.0,36847.0,V-C,High,,Singapore,,6.0,7489.0,48.44
M081,A40,B737,scheduled,LandingGear,,2023-08-31,,,,122.0,85323.0,V-A,Critical,Cancelled,Chennai,,7.0,-16828.0,-12.28
M4782,A11,B737,Unscheduled,Structure,2022-01-22,,2022-02-04,,75200.0,214.0,84891.0,V-A,Critical,Completed,London,30.0,,15984.0,26.99
M4529,A35,,,Hydraulics,2023-05-05,2023-05-12,2023-05-14,83551.0,122488.0,69.0,46882.0,V-A,Medium,Delayed,Paris,48.0,5.0,38937.0,
M4432,A04,A320,Unscheduled,,,2022-03-10,2022-03-11,,,,,,High,,Dallas,142.0,2.0,30985.0,
M3663,A31,B787,scheduled,,,,2023-12-30,136480.0,,188.0,85213.0,inhouse,Low,,Amsterdam,136.0,5.0,,44.57
M1320,A39,A320,scheduled,Electrical,2023-07-02,2023-07-05,2023-07-05,,220295.0,127.0,,inhouse,Medium,Delayed,Mumbai,84.0,,,48.33
M2094,A60,,,,2022-08-27,,2022-09-08,111733.0,166252.0,,75389.0,V-A,,Completed,Chennai,59.0,4.0,54519.0,
M2145,A13,b737,scheduled,,2023-06-05,2023-06-08,2023-06-12,46083.0,,77.0,2789.0,V-B,High,,,92.0,3.0,-8347.0,-18.11
M2610,A43,A320,Emergency,,,2022-11-20,2022-11-25,,49996.0,191.0,,,Medium,completed,Singapore,51.0,,,5.23
M2305,A55,B777,Preventive,Avionics,,2022-04-06,2022-04-08,16769.0,,,,InHouse,,Cancelled,,,9.0,-3747.0,-22.34
M2446,A58,B787,Emergency,Hydraulics,2022-12-13,2022-12-22,2022-12-22,,,,88091.0,V-A,,Delayed,LosAngeles,54.0,,11769.0,11.17
M627,A13,A-320,,,2023-08-14,2023-08-11,2023-08-14,21222.0,24873.0,86.0,48844.0,V-B,High,Completed,Paris,7.0,9.0,3651.0,17.2
M1903,A24,B737,scheduled,,2023-07-06,2023-07-10,,72463.0,,116.0,81254.0,V-C,,completed,Paris,97.0,5.0,-9642.0,-13.31
M2585,A39,B777,Scheduled,Avionics,2024-02-15,2024-02-27,2024-02-28,76260.0,,179.0,86198.0,inhouse,Medium,Completed,,114.0,,,47.75
M427,A05,A-320,Scheduled,,2024-04-20,2024-04-20,,49745.0,68065.0,132.0,78984.0,inhouse,High,Completed,Toronto,56.0,7.0,18320.0,36.83
M1173,A20,B787,Emergency,Structure,2023-03-20,,2023-03-30,81511.0,99337.0,161.0,68135.0,inhouse,,Completed,Atlanta,,8.0,17826.0,21.87
M2365,A54,b737,Scheduled,Avionics,,,,,82544.0,160.0,79396.0,inhouse,Low,Cancelled,,61.0,1.0,-17248.0,-17.28
M970,A48,A-320,Preventive,Structure,2022-09-27,2022-10-08,2022-10-12,93478.0,68459.0,,44636.0,inhouse,Critical,InProgress,,,,-25019.0,-26.76
M2623,A44,A-320,Preventive,Avionics,2023-02-19,,2023-02-27,130409.0,,,27946.0,,Critical,Delayed,Singapore,111.0,1.0,16699.0,12.81
M3249,A40,,scheduled,LandingGear,2022-12-16,2022-12-18,2022-12-19,,86274.0,,16050.0,,,Completed,Frankfurt,99.0,2.0,1753.0,2.07
M1452,A43,B777,Unscheduled,,,2023-07-03,2023-07-08,,,177.0,52716.0,V-A,Critical,Completed,Dubai,66.0,,,31.49
M1411,A60,A320,,Avionics,,2023-12-26,2023-12-27,,,147.0,28106.0,inhouse,Low,InProgress,,,7.0,38098.0,30.5
M1790,A19,,Scheduled,,,,2024-06-02,35465.0,,11.0,,V-B,High,Completed,,,9.0,,
M554,A26,b737,,Avionics,,2022-02-18,,23333.0,21944.0,190.0,73938.0,,Low,InProgress,,134.0,,,
M2277,A05,A350,,,2024-07-29,2024-08-09,2024-08-11,61053.0,71963.0,,13587.0,,,Completed,Dubai,7.0,,,17.87
M3159,A26,A350,Scheduled,Hydraulics,2023-07-02,,2023-07-06,,39189.0,18.0,,V-B,,completed,Atlanta,,,,
M1966,A58,A350,,Electrical,,,,69237.0,80911.0,116.0,,V-C,,InProgress,Frankfurt,,,11674.0,16.86
M3044,A58,,Preventive,LandingGear,,,2024-01-20,99149.0,,149.0,25549.0,V-A,Medium,,Singapore,93.0,6.0,17807.0,
M222,A51,,Scheduled,Avionics,,,2022-04-19,74868.0,,152.0,,V-C,High,InProgress,Dallas,86.0,6.0,,12.69
M4275,A51,A350,scheduled,Engine,,2024-03-01,2024-03-01,108705.0,,151.0,84327.0,V-C,,Completed,London,,2.0,,-26.9
M801,A15,b737,Scheduled,LandingGear,2022-10-13,,2022-10-16,25726.0,33326.0,45.0,67461.0,V-C,Medium,Cancelled,,136.0,2.0,7600.0,
M1421,A52,B787,Emergency,,,2022-10-09,,,74806.0,110.0,61560.0,,Medium,,Amsterdam,92.0,4.0,19071.0,34.22
M015,A04,b737,Scheduled,Engine,2022-12-29,,,127427.0,,108.0,45473.0,V-A,High,InProgress,Dallas,142.0,8.0,49832.0,39.11
M4314,A02,b737,Preventive,Electrical,,2023-08-05,2023-08-08,64333.0,80473.0,,14939.0,V-C,Medium,,Mumbai,95.0,,,25.09
M1746,A36,,Emergency,LandingGear,2023-09-04,,2023-09-16,106852.0,80474.0,47.0,,V-B,,Delayed,,24.0,,,
M2918,A33,A350,,Electrical,2022-09-02,2022-09-14,,34342.0,34194.0,,,,High,Delayed,,89.0,10.0,,-0.43
M2597,A48,,Unscheduled,,2024-01-13,2024-01-19,,143708.0,,,,V-A,Critical,Cancelled,Frankfurt,134.0,2.0,66630.0,
M2663,A17,B777,Scheduled,Electrical,,2022-08-08,2022-08-12,54251.0,46107.0,43.0,49915.0,InHouse,,Completed,,37.0,,,-15.01
M4541,A05,B787,,Electrical,2024-03-03,2024-03-03,,98487.0,,,,,Critical,InProgress,,123.0,5.0,-28181.0,
M2378,A55,B737,,Hydraulics,,,,,107112.0,38.0,26883.0,inhouse,Medium,Cancelled,Singapore,130.0,2.0,32605.0,43.76
M1486,A10,b737,,Avionics,2023-08-11,2023-08-21,2023-08-24,76911.0,80399.0,21.0,,V-B,Low,InProgress,Chennai,,,3488.0,4.54
M4582,A15,,Preventive,Engine,2023-08-07,2023-08-08,,84633.0,113273.0,80.0,24012.0,,,completed,,136.0,1.0,,33.84
M2099,A22,B737,Preventive,Structure,2023-04-19,,,36833.0,37233.0,212.0,,,,Delayed,Toronto,72.0,7.0,,
M4636,A47,b737,Scheduled,,,2023-02-14,2023-02-18,92405.0,97757.0,89.0,89691.0,,High,Delayed,,35.0,7.0,5352.0,
M2388,A16,b737,Emergency,Avionics,2023-06-17,2023-06-17,,123700.0,129368.0,194.0,,,High,Delayed,Amsterdam,28.0,,5668.0,4.58
M2318,A31,A320,Scheduled,,2022-12-11,2022-12-19,2022-12-21,,121643.0,117.0,52997.0,InHouse,,,Mumbai,101.0,1.0,-21576.0,
M1989,A09,b737,Unscheduled,Avionics,2022-05-25,,2022-06-07,32180.0,24803.0,208.0,,V-A,,InProgress,,45.0,7.0,-7377.0,
M1612,A22,A-320,,Engine,2023-09-28,,2023-09-29,140945.0,,150.0,64501.0,InHouse,Low,completed,Toronto,,,-21689.0,
M2729,A09,B777,scheduled,,,2024-02-15,2024-02-20,64761.0,96460.0,,79746.0,V-C,,,Dallas,48.0,,31699.0,48.95
M697,A16,,,Engine,,,2023-04-11,19957.0,,44.0,,,Low,InProgress,,107.0,2.0,,
