Maintenance_ID,Aircraft_ID,Aircraft_Type,Maintenance_Type,Maintenance_Category,Scheduled_Date,Actual_Start_Date,Completion_Date,Budgeted_Cost,Actual_Cost,Labor_Hours,Parts_Cost,Vendor,Priority,Status,Location,Downtime_Hours,Technician_Count,Cost_Variance,Cost_Variance_Percent,Maintenance_Duration,Delay_Flag,High_Cost_Flag,Maintenance_Year,Maintenance_Month
M625,A60,B787,scheduled,Engine,2024-08-02,2024-08-14,2024-08-15,78913.65527065528,128911.0,110.74154067674586,45987.0,InHouse,High,completed,Chennai,116.0,4.0,49997.344729344724,63.35702554629562,1,Yes,Yes,2024,8
M4115,A28,A-320,scheduled,LandingGear,2022-06-09,2022-06-18,2022-06-19,78913.65527065528,37263.0,64.0,28644.0,InHouse,High,InProgress,Mumbai,64.0,1.0,-41650.655270655276,-52.780035505646424,1,Yes,No,2022,6
M795,A48,A-320,Preventive,LandingGear,2022-03-17,2022-03-25,2022-03-29,112184.0,85239.29113067027,110.74154067674586,63535.0,V-B,High,completed,Mumbai,135.0,2.0,-26944.708869329726,-24.018317112359806,4,Yes,No,2022,3
M1515,A34,A320,scheduled,Engine,2022-03-20,2022-03-23,2022-03-27,78913.65527065528,82884.0,5.0,22819.0,inhouse,Low,completed,Tokyo,5.0,5.0,3970.3447293447243,5.031251835601045,4,Yes,No,2022,3
M4673,A04,A320,Preventive,Engine,2022-09-24,2022-10-02,2022-10-06,115243.0,152817.0,100.0,46308.978087649404,V-A,Critical,completed,Mumbai,100.0,6.0,37574.0,32.60414949281084,4,Yes,Yes,2022,9
M1877,A60,A350,Emergency,Hydraulics,2022-04-26,2022-05-05,2022-05-10,78913.65527065528,99990.0,11.0,33801.0,InHouse,Medium,Cancelled,Amsterdam,149.0,7.0,21076.344729344724,26.70810857393162,5,Yes,Yes,2022,4
M374,A42,A350,Scheduled,Structure,2023-09-20,2023-09-20,2023-09-23,78913.65527065528,85239.29113067027,87.0,15833.0,InHouse,High,Cancelled,Paris,87.0,8.0,6325.635860014998,8.015895143013658,3,No,No,2023,9
M1182,A21,A-320,Preventive,Structure,2023-06-16,2023-06-21,2023-06-25,78913.65527065528,85239.29113067027,76.25535055350554,46308.978087649404,InHouse,Critical,completed,Atlanta,76.25535055350554,9.0,6325.635860014998,8.015895143013658,4,Yes,No,2023,6
M1088,A54,B737,scheduled,Hydraulics,2022-12-30,2022-12-30,2022-12-31,93794.0,96835.0,110.74154067674586,46308.978087649404,V-A,Critical,completed,Chicago,126.0,8.0,3041.0,3.2422116553297653,1,No,Yes,2022,12
M965,A19,B737,Scheduled,Electrical,2024-07-15,2024-07-15,2024-07-31,93767.0,118416.0,109.0,20925.0,InHouse,High,Completed,Amsterdam,109.0,3.0,24649.0,26.28749986669084,16,No,Yes,2024,7
M2226,A48,b737,scheduled,Electrical,2023-12-08,2023-12-19,2023-12-19,78913.65527065528,13873.0,17.0,2166.0,V-A,High,Completed,Atlanta,17.0,5.559125085440875,-65040.655270655276,-82.42002610014848,0,Yes,No,2023,12
M1372,A09,B787,Preventive,Structure,2022-05-30,2022-06-03,2022-06-04,78913.65527065528,85239.29113067027,45.0,76447.0,inhouse,Medium,Completed,Dallas,45.0,2.0,6325.635860014998,8.015895143013658,1,Yes,No,2022,5
M1894,A31,b737,Unscheduled,Engine,2022-08-09,2022-08-21,2022-08-22,117405.0,124714.0,51.0,87096.0,V-B,High,Completed,Tokyo,51.0,5.0,7309.0,6.2254588816489935,1,Yes,Yes,2022,8
M3671,A60,B737,scheduled,Engine,2023-12-02,2023-12-08,2023-12-14,78913.65527065528,85239.29113067027,12.0,69131.0,InHouse,High,Delayed,NewYork,12.0,5.559125085440875,6325.635860014998,8.015895143013658,6,Yes,No,2023,12
M2846,A11,A320,scheduled,Hydraulics,2024-05-31,2024-06-10,2024-06-15,78913.65527065528,85239.29113067027,113.0,45036.0,InHouse,High,Cancelled,Frankfurt,128.0,6.0,6325.635860014998,8.015895143013658,5,Yes,No,2024,5
M1048,A13,B737,Scheduled,Engine,2024-07-05,2024-07-07,2024-07-08,9504.0,85239.29113067027,76.25535055350554,46308.978087649404,InHouse,High,completed,LosAngeles,76.25535055350554,9.0,75735.29113067027,796.8780632435846,1,Yes,No,2024,7
M2300,A08,A350,Emergency,Engine,2022-05-25,2022-05-25,2022-05-25,115675.0,81517.0,109.0,46308.978087649404,V-A,High,completed,Dallas,109.0,1.0,-34158.0,-29.529284633671928,0,No,No,2022,5
M4845,A05,A320,Emergency,LandingGear,2024-08-15,2024-08-15,2024-08-17,142202.0,85239.29113067027,110.74154067674586,82234.0,V-A,High,Delayed,Dallas,131.0,10.0,-56962.70886932973,-40.05760036379919,2,No,No,2024,8
M1731,A50,B737,Scheduled,Engine,2022-05-14,2022-05-23,2022-05-23,128608.0,85239.29113067027,9.0,71294.0,inhouse,Low,completed,Amsterdam,9.0,5.559125085440875,-43368.70886932973,-33.721626080282505,0,Yes,No,2022,5
M1663,A34,B737,scheduled,Structure,2022-03-01,2022-03-08,2022-03-09,81054.0,61107.0,76.25535055350554,27205.0,InHouse,Medium,Cancelled,Atlanta,76.25535055350554,10.0,-19947.0,-24.609519579539565,1,Yes,No,2022,3
M4379,A59,B737,scheduled,Hydraulics,2023-05-14,2023-05-20,2023-05-26,5381.0,6244.0,76.25535055350554,80492.0,V-B,Medium,completed,LosAngeles,76.25535055350554,2.0,863.0,16.03791116892771,6,Yes,No,2023,5
M4440,A19,A320,Scheduled,Engine,2023-11-15,2023-11-17,2023-11-20,50321.0,85239.29113067027,10.0,46308.978087649404,InHouse,High,InProgress,LosAngeles,10.0,5.559125085440875,34918.29113067027,69.39109145420456,3,Yes,No,2023,11
M4218,A19,B737,scheduled,LandingGear,2022-05-05,2022-05-11,2022-05-15,63526.0,62189.0,76.25535055350554,69126.0,InHouse,High,completed,Frankfurt,76.25535055350554,5.559125085440875,-1337.0,-2.104650064540503,4,Yes,No,2022,5
M2105,A44,B737,scheduled,Structure,2022-03-04,2022-03-09,2022-03-11,143733.0,114971.0,40.0,46308.978087649404,InHouse,Low,completed,Dallas,40.0,3.0,-28762.0,-20.010714310561944,2,Yes,Yes,2022,3
M1401,A03,B737,scheduled,Electrical,2022-07-29,2022-07-29,2022-07-30,78913.65527065528,191150.0,43.0,30419.0,InHouse,High,completed,Dallas,43.0,5.559125085440875,112236.34472934472,142.22677221629192,1,No,Yes,2022,7
M2143,A52,B737,Scheduled,Hydraulics,2023-06-04,2023-06-04,2023-06-13,91472.0,94519.0,14.0,69976.0,V-C,High,Delayed,Dallas,14.0,8.0,3047.0,3.3310739898548185,9,No,Yes,2023,6
M4967,A42,b737,Unscheduled,Hydraulics,2023-09-20,2023-09-20,2023-09-21,56599.0,71465.0,56.0,46308.978087649404,InHouse,Critical,completed,Chicago,76.25535055350554,5.559125085440875,14866.0,26.265481722291913,1,No,No,2023,9
M4104,A07,B777,scheduled,Hydraulics,2022-10-21,2022-10-21,2022-10-21,63007.0,66915.0,76.0,74548.0,InHouse,High,completed,Dallas,148.0,3.0,3908.0,6.2024854381259225,0,No,No,2022,10
M158,A47,A350,Emergency,Avionics,2024-06-22,2024-07-04,2024-07-09,78913.65527065528,41407.0,61.0,42015.0,InHouse,High,completed,Chennai,61.0,3.0,-37506.655270655276,-47.52872635542767,5,Yes,No,2024,6
M2518,A58,A-320,Unscheduled,Structure,2024-08-21,2024-08-21,2024-08-23,78913.65527065528,85239.29113067027,110.0,60489.0,V-C,Critical,completed,Chicago,110.0,9.0,6325.635860014998,8.015895143013658,2,No,No,2024,8
M157,A16,B787,scheduled,LandingGear,2024-02-04,2024-02-16,2024-02-17,78913.65527065528,59625.0,97.0,62112.0,inhouse,Medium,Delayed,Atlanta,97.0,9.0,-19288.655270655276,-24.442734536246896,1,Yes,No,2024,2
M3681,A55,A350,scheduled,Hydraulics,2022-01-08,2022-01-11,2022-01-12,78913.65527065528,85239.29113067027,110.74154067674586,85957.0,InHouse,High,completed,London,130.0,9.0,6325.635860014998,8.015895143013658,1,Yes,No,2022,1
M1537,A56,A350,scheduled,Hydraulics,2024-05-01,2024-05-01,2024-05-07,52429.0,56701.0,76.25535055350554,46308.978087649404,V-B,High,completed,Chicago,76.25535055350554,8.0,4272.0,8.148162276602644,6,No,No,2024,5
M2112,A11,B737,Preventive,Electrical,2023-12-21,2023-12-29,2023-12-29,106883.0,85239.29113067027,30.0,46308.978087649404,V-A,High,completed,Dubai,30.0,3.0,-21643.708869329726,-20.24990772090017,0,Yes,No,2023,12
M2810,A59,B737,Emergency,Hydraulics,2023-11-18,2023-11-22,2023-11-23,108510.0,85239.29113067027,14.0,40074.0,V-C,High,completed,Chennai,14.0,10.0,-23270.708869329726,-21.445681383586514,1,Yes,No,2023,11
M4348,A30,B737,scheduled,Structure,2023-08-05,2023-08-17,2023-08-18,143708.0,85239.29113067027,107.0,40668.0,V-B,High,completed,Dallas,107.0,9.0,-58468.70886932973,-40.68577175197604,1,Yes,No,2023,8
M4507,A57,B737,scheduled,LandingGear,2022-01-21,2022-01-21,2022-01-22,140307.0,209634.0,76.25535055350554,46308.978087649404,InHouse,High,InProgress,Chennai,76.25535055350554,7.0,69327.0,49.41093459342727,1,No,Yes,2022,1
M1412,A57,b737,scheduled,Hydraulics,2024-07-10,2024-07-10,2024-07-14,93138.0,112510.0,110.74154067674586,46308.978087649404,InHouse,Critical,InProgress,Paris,146.0,5.559125085440875,19372.0,20.79924413236273,4,No,Yes,2024,7
M590,A10,B737,Scheduled,Hydraulics,2022-07-27,2022-08-07,2022-08-10,78913.65527065528,40857.0,110.74154067674586,33353.0,InHouse,Medium,completed,Dallas,130.0,5.559125085440875,-38056.655270655276,-48.22569064901366,3,Yes,No,2022,7
M4505,A56,B787,scheduled,Hydraulics,2024-05-28,2024-06-06,2024-06-07,127561.0,90527.0,20.0,2306.0,InHouse,Critical,completed,Tokyo,20.0,5.559125085440875,-37034.0,-29.03238450623623,1,Yes,Yes,2024,5
M829,A20,B777,Scheduled,LandingGear,2023-03-29,2023-03-29,2023-03-30,78913.65527065528,85239.29113067027,69.0,66902.0,InHouse,Medium,Completed,Singapore,76.25535055350554,5.559125085440875,6325.635860014998,8.015895143013658,1,No,No,2023,3
M169,A21,B777,Scheduled,Engine,2022-10-02,2022-10-02,2022-10-03,45442.0,85239.29113067027,38.0,41405.0,InHouse,High,Delayed,LosAngeles,38.0,2.0,39797.29113067027,87.57821207400703,1,No,No,2022,10
M2756,A45,B737,Emergency,Engine,2022-01-03,2022-01-03,2022-01-04,80884.0,116692.0,76.25535055350554,46900.0,InHouse,High,completed,Dallas,76.25535055350554,4.0,35808.0,44.27080757628208,1,No,Yes,2022,1
M3571,A54,B737,scheduled,Structure,2024-02-27,2024-02-27,2024-03-10,8298.0,7603.0,60.0,25280.0,InHouse,High,completed,Toronto,76.25535055350554,1.0,-695.0,-8.375512171607616,12,No,No,2024,2
M4305,A01,B777,scheduled,Electrical,2024-02-04,2024-02-04,2024-02-05,78913.65527065528,137606.0,16.0,76846.0,V-C,High,Delayed,Dallas,133.0,5.559125085440875,58692.344729344724,74.37539742398674,1,No,Yes,2024,2
M3317,A42,B787,Emergency,Electrical,2023-07-21,2023-07-25,2023-07-27,78913.65527065528,85239.29113067027,13.0,80876.0,V-A,Medium,InProgress,Toronto,13.0,10.0,6325.635860014998,8.015895143013658,2,Yes,No,2023,7
M4828,A04,A-320,Scheduled,Electrical,2023-03-29,2023-04-01,2023-04-01,78913.65527065528,85239.29113067027,110.74154067674586,64706.0,InHouse,Low,completed,Tokyo,144.0,4.0,6325.635860014998,8.015895143013658,0,Yes,No,2023,3
M1033,A24,B737,scheduled,Electrical,2024-02-26,2024-02-26,2024-03-01,54798.0,85239.29113067027,79.0,27799.0,InHouse,High,Completed,Tokyo,79.0,5.559125085440875,30441.291130670274,55.5518287723462,4,No,No,2024,2
M811,A51,A350,Scheduled,Avionics,2022-02-06,2022-02-06,2022-02-06,31875.0,35100.0,76.25535055350554,40513.0,InHouse,High,InProgress,Dallas,76.25535055350554,5.559125085440875,3225.0,10.117647058823529,0,No,No,2022,2
M1408,A36,B737,scheduled,Avionics,2023-10-30,2023-10-30,2023-11-06,57209.0,45121.0,76.25535055350554,56344.0,InHouse,Critical,InProgress,Tokyo,76.25535055350554,1.0,-12088.0,-21.129542554493174,7,No,No,2023,10
M3711,A20,B787,scheduled,Engine,2023-10-19,2023-10-19,2023-10-20,71450.0,79186.0,17.0,46308.978087649404,InHouse,High,completed,Dallas,17.0,6.0,7736.0,10.827151854443667,1,No,No,2023,10
M240,A22,B737,Unscheduled,Engine,2022-05-28,2022-06-06,2022-06-07,108754.0,153523.0,82.0,63287.0,V-C,Medium,Completed,London,82.0,5.0,44769.0,41.16538242271549,1,Yes,Yes,2022,5
M1756,A60,b737,Emergency,Hydraulics,2024-03-21,2024-03-31,2024-04-01,35843.0,43429.0,76.25535055350554,46308.978087649404,InHouse,Low,completed,Dallas,76.25535055350554,3.0,7586.0,21.16452305889574,1,Yes,No,2024,3
M1946,A36,B737,Preventive,Engine,2023-11-09,2023-11-09,2023-11-22,38949.0,85239.29113067027,76.25535055350554,27376.0,V-B,High,Completed,NewYork,76.25535055350554,5.0,46290.29113067027,118.84847141305369,13,No,No,2023,11
M4653,A52,B737,Scheduled,LandingGear,2023-05-23,2023-05-23,2023-05-23,121407.0,148303.0,48.0,46308.978087649404,V-C,Medium,InProgress,Dubai,48.0,5.559125085440875,26896.0,22.153582577610848,0,No,Yes,2023,5
M2560,A01,A350,Preventive,Engine,2022-11-06,2022-11-06,2022-11-10,11304.0,16117.0,66.0,46308.978087649404,V-B,High,Delayed,Dallas,66.0,5.559125085440875,4813.0,42.57784854918613,4,No,No,2022,11
M3774,A60,B737,Unscheduled,Electrical,2022-06-19,2022-06-19,2022-06-23,105708.0,106959.0,15.0,80356.0,InHouse,Critical,InProgress,NewYork,124.0,10.0,1251.0,1.1834487456010898,4,No,Yes,2022,6
M4782,A11,B737,Unscheduled,Structure,2022-01-22,2022-01-22,2022-02-04,78913.65527065528,75200.0,30.0,84891.0,V-A,Critical,Completed,London,30.0,5.559125085440875,-3713.6552706552757,-4.705972949698391,13,No,No,2022,1
M4529,A35,B737,scheduled,Hydraulics,2023-05-05,2023-05-12,2023-05-14,83551.0,122488.0,48.0,46882.0,V-A,Medium,Delayed,Paris,48.0,5.0,38937.0,46.60267381599263,2,Yes,Yes,2023,5
M1320,A39,A320,scheduled,Electrical,2023-07-02,2023-07-05,2023-07-05,78913.65527065528,220295.0,84.0,46308.978087649404,inhouse,Medium,Delayed,Mumbai,84.0,5.559125085440875,141381.3447293447,179.15954373731637,0,Yes,Yes,2023,7
M2446,A58,B787,Emergency,Hydraulics,2022-12-13,2022-12-22,2022-12-22,78913.65527065528,85239.29113067027,54.0,88091.0,V-A,High,Delayed,LosAngeles,54.0,5.559125085440875,6325.635860014998,8.015895143013658,0,Yes,No,2022,12
M2585,A39,B777,Scheduled,Avionics,2024-02-15,2024-02-27,2024-02-28,76260.0,85239.29113067027,114.0,86198.0,inhouse,Medium,Completed,Dallas,114.0,5.559125085440875,8979.291130670274,11.77457530903524,1,Yes,No,2024,2
M1173,A20,B787,Emergency,Structure,2023-03-20,2023-03-20,2023-03-30,81511.0,99337.0,76.25535055350554,68135.0,inhouse,High,Completed,Atlanta,76.25535055350554,8.0,17826.0,21.86944093435242,10,No,Yes,2023,3
M970,A48,A-320,Preventive,Structure,2022-09-27,2022-10-08,2022-10-12,93478.0,68459.0,76.25535055350554,44636.0,inhouse,Critical,InProgress,Dallas,76.25535055350554,5.559125085440875,-25019.0,-26.764586319775773,4,Yes,No,2022,9
M2623,A44,A-320,Preventive,Avionics,2023-02-19,2023-02-19,2023-02-27,130409.0,85239.29113067027,110.74154067674586,27946.0,InHouse,Critical,Delayed,Singapore,111.0,1.0,-45169.70886932973,-34.63695670492813,8,No,No,2023,2
M3249,A40,B737,scheduled,LandingGear,2022-12-16,2022-12-18,2022-12-19,78913.65527065528,86274.0,99.0,16050.0,InHouse,High,Completed,Frankfurt,99.0,2.0,7360.344729344724,9.327086299703737,1,Yes,Yes,2022,12
M3159,A26,A350,Scheduled,Hydraulics,2023-07-02,2023-07-02,2023-07-06,78913.65527065528,39189.0,18.0,46308.978087649404,V-B,High,completed,Atlanta,76.25535055350554,5.559125085440875,-39724.655270655276,-50.339393270288966,4,No,No,2023,7
M801,A15,b737,Scheduled,LandingGear,2022-10-13,2022-10-13,2022-10-16,25726.0,33326.0,45.0,67461.0,V-C,Medium,Cancelled,Dallas,136.0,2.0,7600.0,29.542097488921716,3,No,No,2022,10
M015,A04,b737,Scheduled,Engine,2022-12-29,2022-12-29,2022-12-30,127427.0,85239.29113067027,108.0,45473.0,V-A,High,InProgress,Dallas,142.0,8.0,-42187.70886932973,-33.10735469667318,1,No,No,2022,12
M1746,A36,B737,Emergency,LandingGear,2023-09-04,2023-09-04,2023-09-16,106852.0,80474.0,24.0,46308.978087649404,V-B,High,Delayed,Dallas,24.0,5.559125085440875,-26378.0,-24.686482237113015,12,No,No,2023,9
M2918,A33,A350,scheduled,Electrical,2022-09-02,2022-09-14,2022-09-15,34342.0,34194.0,89.0,46308.978087649404,InHouse,High,Delayed,Dallas,89.0,10.0,-148.0,-0.4309591753537942,1,Yes,No,2022,9
M4541,A05,B787,scheduled,Electrical,2024-03-03,2024-03-03,2024-03-04,98487.0,85239.29113067027,110.74154067674586,46308.978087649404,InHouse,Critical,InProgress,Dallas,123.0,5.0,-13247.708869329726,-13.45122591746091,1,No,No,2024,3
M1486,A10,b737,scheduled,Avionics,2023-08-11,2023-08-21,2023-08-24,76911.0,80399.0,21.0,46308.978087649404,V-B,Low,InProgress,Chennai,76.25535055350554,5.559125085440875,3488.0,4.5351120125859765,3,Yes,No,2023,8
M4582,A15,B737,Preventive,Engine,2023-08-07,2023-08-08,2023-08-09,84633.0,113273.0,80.0,24012.0,InHouse,High,completed,Dallas,136.0,1.0,28640.0,33.84022780712016,1,Yes,Yes,2023,8
M2099,A22,B737,Preventive,Structure,2023-04-19,2023-04-19,2023-04-20,36833.0,37233.0,72.0,46308.978087649404,InHouse,High,Delayed,Toronto,72.0,7.0,400.0,1.0859826785762767,1,No,No,2023,4
M2388,A16,b737,Emergency,Avionics,2023-06-17,2023-06-17,2023-06-18,123700.0,129368.0,28.0,46308.978087649404,InHouse,High,Delayed,Amsterdam,28.0,5.559125085440875,5668.0,4.582053354890865,1,No,Yes,2023,6
M1989,A09,b737,Unscheduled,Avionics,2022-05-25,2022-05-25,2022-06-07,32180.0,24803.0,45.0,46308.978087649404,V-A,High,InProgress,Dallas,45.0,7.0,-7377.0,-22.924176507147294,13,No,No,2022,5
M1612,A22,A-320,scheduled,Engine,2023-09-28,2023-09-28,2023-09-29,140945.0,85239.29113067027,76.25535055350554,64501.0,InHouse,Low,completed,Toronto,76.25535055350554,5.559125085440875,-55705.70886932973,-39.523011720408476,1,No,No,2023,9
M121,A21,b737,scheduled,Hydraulics,2023-06-23,2023-06-23,2023-06-24,24333.0,19472.0,76.25535055350554,68811.0,V-C,High,completed,Dallas,76.25535055350554,3.0,-4861.0,-19.9769859861094,1,No,No,2023,6
M411,A08,B737,Unscheduled,Electrical,2022-05-16,2022-05-21,2022-05-24,72359.0,85239.29113067027,65.0,46308.978087649404,InHouse,High,completed,Atlanta,65.0,5.559125085440875,12880.291130670274,17.800537777844188,3,Yes,No,2022,5
M3831,A46,B787,scheduled,Hydraulics,2023-12-07,2023-12-07,2023-12-08,78913.65527065528,136597.0,40.0,72328.0,InHouse,Medium,Completed,Tokyo,40.0,5.0,57683.344729344724,73.0967847472081,1,No,Yes,2023,12
M234,A17,A350,Preventive,LandingGear,2024-06-25,2024-07-04,2024-07-08,78913.65527065528,56963.0,29.0,36200.0,inhouse,High,InProgress,Toronto,29.0,2.0,-21950.655270655276,-27.81604171720305,4,Yes,No,2024,6
M066,A41,b737,scheduled,Electrical,2024-05-22,2024-05-29,2024-05-30,104617.0,85239.29113067027,14.0,81931.0,V-A,High,completed,Dallas,76.25535055350554,5.559125085440875,-19377.708869329726,-18.52252393906318,1,Yes,No,2024,5
M4864,A32,B787,scheduled,Structure,2023-09-28,2023-09-29,2023-10-05,72871.0,59435.0,81.0,59655.0,InHouse,Medium,Completed,Dallas,81.0,9.0,-13436.0,-18.43806178040647,6,Yes,No,2023,9
M1787,A55,B737,scheduled,Structure,2023-03-05,2023-03-05,2023-03-16,78913.65527065528,209155.0,18.0,56273.0,InHouse,High,completed,Dallas,131.0,3.0,130241.34472934472,165.04284877268395,11,No,Yes,2023,3
M682,A16,B777,Scheduled,Avionics,2022-03-27,2022-04-06,2022-04-07,62497.0,78900.0,9.0,48500.0,inhouse,High,InProgress,Dallas,76.25535055350554,1.0,16403.0,26.24605981087092,1,Yes,No,2022,3
M1407,A29,A320,Preventive,Electrical,2024-07-28,2024-07-28,2024-07-29,128485.0,178614.0,139.0,78864.0,inhouse,High,completed,Tokyo,139.0,2.0,50129.0,39.01544927423435,1,No,Yes,2024,7
M1188,A29,B787,scheduled,LandingGear,2022-03-01,2022-03-08,2022-03-13,78913.65527065528,151955.0,81.0,46308.978087649404,V-B,Low,Delayed,Amsterdam,91.0,5.0,73041.34472934472,92.55856223974178,5,Yes,Yes,2022,3
M4634,A24,b737,Preventive,Hydraulics,2024-03-23,2024-04-03,2024-04-08,78913.65527065528,67760.0,40.0,57958.0,V-B,High,Delayed,Dallas,40.0,9.0,-11153.655270655276,-14.133999030206953,5,Yes,No,2024,3
M1808,A46,A-320,scheduled,Hydraulics,2022-05-09,2022-05-09,2022-05-09,63657.0,85239.29113067027,76.25535055350554,63274.0,InHouse,High,completed,Dallas,76.25535055350554,5.0,21582.291130670274,33.90403432563626,0,No,No,2022,5
M3177,A49,A-320,scheduled,Engine,2022-11-19,2022-11-19,2022-11-20,142198.0,181111.0,76.25535055350554,76005.0,InHouse,High,Completed,Dallas,76.25535055350554,7.0,38913.0,27.36536378852023,1,No,Yes,2022,11
M764,A55,b737,scheduled,Hydraulics,2024-08-02,2024-08-02,2024-08-02,70662.0,55934.0,32.0,50063.0,inhouse,Critical,completed,London,32.0,5.559125085440875,-14728.0,-20.842885850952424,0,No,No,2024,8
M4969,A12,B777,Preventive,Engine,2024-09-25,2024-09-25,2024-09-26,78913.65527065528,85239.29113067027,76.25535055350554,46308.978087649404,V-B,Medium,completed,Chennai,76.25535055350554,5.559125085440875,6325.635860014998,8.015895143013658,1,No,No,2024,9
M4265,A08,A-320,scheduled,Avionics,2024-02-27,2024-03-05,2024-03-06,141501.0,210628.0,76.25535055350554,28567.0,InHouse,High,Cancelled,Dubai,76.25535055350554,5.559125085440875,69127.0,48.85265828510046,1,Yes,Yes,2024,2
M2795,A04,A320,scheduled,LandingGear,2022-07-01,2022-07-08,2022-07-10,39289.0,85239.29113067027,76.25535055350554,11644.0,InHouse,High,completed,Atlanta,76.25535055350554,8.0,45950.29113067027,116.95459576642386,2,Yes,No,2022,7
M3622,A13,A320,Preventive,Hydraulics,2023-07-21,2023-07-21,2023-07-23,50385.0,50693.0,76.25535055350554,46308.978087649404,V-A,Critical,Delayed,Dallas,76.25535055350554,1.0,308.0,0.6112930435645529,2,No,No,2023,7
M320,A52,B737,scheduled,Electrical,2023-02-12,2023-02-16,2023-02-22,38618.0,28705.0,76.25535055350554,46308.978087649404,InHouse,Low,InProgress,Frankfurt,76.25535055350554,9.0,-9913.0,-25.669376974467866,6,Yes,No,2023,2
M4608,A57,A350,scheduled,Avionics,2024-05-09,2024-05-13,2024-05-14,92832.0,114532.0,76.0,79598.0,InHouse,High,Completed,Chennai,76.0,10.0,21700.0,23.375560151671838,1,Yes,Yes,2024,5
M402,A21,B777,scheduled,Structure,2023-02-04,2023-02-04,2023-02-05,58912.0,73358.0,76.25535055350554,57980.0,InHouse,Critical,completed,Dallas,76.25535055350554,7.0,14446.0,24.521319934818035,1,No,No,2023,2
M1619,A59,b737,scheduled,LandingGear,2022-11-26,2022-11-26,2022-11-26,128526.0,154732.0,27.0,46308.978087649404,V-B,High,completed,Dallas,93.0,5.559125085440875,26206.0,20.389648787015858,0,No,Yes,2022,11
M1162,A06,A350,Scheduled,Avionics,2022-12-20,2022-12-29,2022-12-30,127471.0,85239.29113067027,47.0,46308.978087649404,V-A,High,completed,Chicago,76.25535055350554,5.559125085440875,-42231.70886932973,-33.1304444691967,1,Yes,No,2022,12
M4632,A39,A-320,Unscheduled,Hydraulics,2022-09-07,2022-09-18,2022-09-18,78913.65527065528,69534.0,73.0,31138.0,V-C,High,completed,Singapore,73.0,5.559125085440875,-9379.655270655276,-11.885972381440531,0,Yes,No,2022,9
M024,A08,B737,Unscheduled,Electrical,2022-06-15,2022-06-26,2022-06-27,117115.0,134532.0,14.0,49393.0,inhouse,High,Cancelled,Chicago,76.25535055350554,5.0,17417.0,14.871707296247278,1,Yes,Yes,2022,6
